                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5395,                  2.884,                 1.8383,                0.00029,                0.06443,                0.00017,                  5e-05,                    nan,                    nan,                    nan,             0.00054332,             0.00054332,             0.00054332
                      2,                 1.7975,                 2.4144,                 1.9998,                0.00029,                0.06443,                0.00017,                  5e-05,                    nan,                    nan,                    nan,              0.0010881,              0.0010881,              0.0010881
                      3,                 1.7367,                 2.2606,                 1.9348,                  5e-05,                0.01031,                  2e-05,                  1e-05,                 4.5295,                    inf,                 400.02,              0.0016219,              0.0016219,              0.0016219
                      4,                 1.7479,                 2.3089,                 1.9392,                0.51035,                0.09021,                0.00425,                0.00086,                 4.0613,                 91.223,                 5.8473,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7156,                 2.1064,                 1.8588,                0.57086,                0.10567,                0.04039,                0.01592,                 2.5393,                  7.535,                 2.9527,               0.001601,               0.001601,               0.001601
                      6,                 1.6152,                 1.9371,                  1.817,                0.36387,                 0.4132,                0.32298,                0.14875,                  2.229,                 2.9606,                 2.6717,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.624,                 1.8895,                 1.8159,                0.76663,                0.18814,                0.26256,                 0.1295,                 1.9293,                 3.0145,                 2.1952,               0.001568,               0.001568,               0.001568
                      8,                 1.5817,                 1.8397,                 1.7798,                0.60444,                0.63021,                0.60134,                0.32946,                 1.6555,                 2.8812,                 2.0868,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5634,                 1.7368,                 1.7539,                0.36268,                0.60763,                 0.4464,                0.19168,                 1.7406,                 2.6332,                  2.193,               0.001535,               0.001535,               0.001535
                     10,                 1.5103,                 1.6846,                 1.7159,                0.71171,                0.57367,                0.64998,                0.32944,                 1.5509,                 1.6235,                   1.93,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4926,                 1.6309,                 1.7041,                0.58425,                0.63917,                0.60238,                0.31379,                 1.6803,                 1.7209,                 1.9738,               0.001502,               0.001502,               0.001502
                     12,                 1.4717,                 1.5381,                 1.6735,                0.66873,                0.56992,                0.66466,                0.34718,                 1.5469,                 1.4944,                 1.8525,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4622,                 1.5744,                 1.6936,                0.61833,                0.55953,                0.60649,                0.32384,                 1.5888,                 1.9758,                 1.9854,               0.001469,               0.001469,               0.001469
                     14,                 1.3988,                 1.5292,                  1.636,                0.69274,                 0.5897,                0.58704,                0.31532,                 1.5248,                 1.5879,                 1.9101,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4349,                   1.55,                 1.6575,                0.58236,                0.53384,                0.47745,                0.21764,                 1.9346,                 2.0922,                  2.207,               0.001436,               0.001436,               0.001436
                     16,                 1.3864,                 1.4641,                 1.6141,                0.65646,                0.69384,                 0.6409,                0.34644,                 1.4705,                 1.3506,                 1.7809,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3936,                 1.4425,                 1.6293,                0.66487,                0.76552,                0.74798,                0.40713,                 1.4972,                 1.4076,                 1.7975,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3678,                 1.3788,                 1.6012,                0.67403,                0.71164,                0.69671,                0.39032,                 1.4279,                 1.3076,                 1.8009,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3867,                 1.3569,                 1.6235,                0.70604,                 0.7085,                0.67094,                0.38293,                 1.4516,                 1.4399,                   1.79,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3328,                 1.3566,                 1.5716,                0.71755,                0.73094,                0.70657,                0.40038,                 1.4507,                 1.2308,                 1.8249,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2849,                 1.2752,                  1.555,                0.74198,                0.68989,                0.71653,                0.40035,                 1.4315,                 1.2263,                 1.7934,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3104,                 1.3402,                 1.5664,                0.75572,                0.67118,                0.75769,                0.44141,                 1.4578,                 1.2087,                  1.754,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2927,                 1.2565,                 1.5447,                0.67813,                0.78189,                0.75042,                0.41959,                 1.3913,                 1.1444,                 1.7094,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2912,                 1.2366,                 1.5298,                0.74517,                0.72822,                0.77678,                0.40598,                 1.3923,                 1.2349,                 1.7184,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3116,                  1.217,                 1.5288,                0.67997,                0.59175,                0.67547,                0.35851,                 1.6234,                 1.3917,                 1.9144,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2939,                 1.2781,                 1.5459,                0.70932,                0.74121,                0.75223,                 0.4199,                  1.436,                   1.19,                 1.7693,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2723,                 1.2267,                 1.5417,                0.68507,                 0.7814,                0.74278,                0.40214,                 1.4793,                 1.1669,                  1.785,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2632,                 1.1725,                  1.515,                0.72364,                0.76721,                0.75393,                0.42598,                 1.4074,                 1.1721,                 1.7199,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2404,                 1.1723,                 1.5056,                0.71991,                0.73046,                 0.7483,                0.41678,                 1.4135,                 1.1036,                 1.7564,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.2477,                  1.152,                 1.4893,                 0.7278,                0.72639,                0.75009,                 0.4304,                 1.3868,                 1.0575,                 1.6637,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2457,                 1.1297,                 1.5045,                0.68404,                0.82142,                0.79992,                0.44266,                 1.4326,                 1.0975,                 1.7323,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2288,                 1.1197,                 1.4939,                0.67582,                0.74277,                0.72688,                0.40902,                 1.4257,                 1.1397,                 1.7131,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.2414,                 1.1091,                 1.5026,                0.76258,                0.80941,                0.82006,                0.44545,                 1.4167,                0.98086,                 1.7203,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.2023,                 1.0833,                 1.4678,                0.74213,                0.76353,                0.77999,                0.43274,                 1.3778,                 1.1368,                 1.6951,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2224,                 1.0899,                 1.4786,                0.33664,                0.54508,                0.36122,                0.20423,                 1.5549,                 3.4071,                 1.9181,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.201,                 1.0649,                 1.4737,                0.67766,                0.82657,                0.80881,                0.45782,                 1.4079,                 1.0485,                  1.719,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1753,                 1.0724,                 1.4467,                0.66951,                0.72531,                0.74736,                0.41205,                 1.4022,                 1.0989,                 1.6837,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1854,                 1.0566,                 1.4512,                0.74767,                0.76339,                0.78794,                0.44692,                 1.4073,                  1.035,                 1.7327,              0.0010564,              0.0010564,              0.0010564
